freq,citizen,age,sex,unit,geo,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 ,2025 
A,EU27_2020_FOR,Y18-29,M,PC,AT,: ,12.6 u,4.5 u,9.2 u,6.1 u,1.2 u,13.5 u,20.6 u,9.4 u,12.7 u,8.1 u,19.4 
A,EU27_2020_FOR,Y18-29,M,PC,BE,: ,14.4 ,13.1 ,18.3 ,20.4 u,19.5 b,13.4 u,17.6 ,7.7 ,11.4 ,17.3 ,24.7 
A,EU27_2020_FOR,Y18-29,M,PC,BG,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,M,PC,CH,1.1 ,0.0 ,3.2 ,0.0 ,2.8 ,5.0 ,8.5 ,2.5 ,5.5 ,2.0 ,2.3 ,: 
A,EU27_2020_FOR,Y18-29,M,PC,CY,: ,9.1 ,4.1 u,3.8 ,5.2 ,0.0 u,15.8 u,16.2 u,7.7 u,3.7 u,0.0 u,0.0 u
A,EU27_2020_FOR,Y18-29,M,PC,CZ,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,M,PC,DE,: ,: u,11.3 u,: u,: u,: u,5.9 b,9.6 ,5.9 ,5.0 ,6.6 ,6.3 
A,EU27_2020_FOR,Y18-29,M,PC,DK,: ,: u,: u,: u,: u,0.0 u,15.0 u,17.8 u,8.8 u,2.8 u,22.9 u,4.4 u
A,EU27_2020_FOR,Y18-29,M,PC,EA,: ,: ,: ,: ,: ,: ,: ,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,M,PC,EA19,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,M,PC,EA20,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,M,PC,EA21,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u
A,EU27_2020_FOR,Y18-29,M,PC,EE,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,M,PC,EL,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,M,PC,ES,: ,34.7 u,22.6 u,17.2 u,14.5 u,7.5 u,14.5 u,16.2 ,18.9 ,20.9 ,12.0 ,4.7 
A,EU27_2020_FOR,Y18-29,M,PC,EU27_2020,: ,: ,: ,: ,: ,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,M,PC,FI,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-29,M,PC,FR,: ,: u,: u,: u,: u,: u,: u,: u,18.5 bu,17.9 u,: u,7.7 u
A,EU27_2020_FOR,Y18-29,M,PC,HR,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
